,date,time,temp,hum,wind,condition
0,7/1/2022,12:00 AM,66,100,18,Mostly Cloudy
1,7/1/2022,1:00 AM,66,100,13,Partly Cloudy
2,7/1/2022,2:00 AM,66,100,12,Partly Cloudy
3,7/1/2022,3:00 AM,64,100,12,Partly Cloudy
4,7/1/2022,4:00 AM,64,100,7,Mostly Cloudy
5,7/1/2022,5:00 AM,66,100,14,Cloudy
6,7/1/2022,6:00 AM,68,100,15,Cloudy
7,7/1/2022,7:00 AM,68,73,12,Cloudy
8,7/1/2022,8:00 AM,68,83,10,Cloudy
9,7/1/2022,9:00 AM,68,100,12,Cloudy
10,7/1/2022,10:00 AM,72,60,18,Cloudy
11,7/1/2022,11:00 AM,73,53,18,Mostly Cloudy
12,7/1/2022,12:00 PM,75,50,20,Mostly Cloudy
13,7/1/2022,1:00 PM,77,47,18,Partly Cloudy
14,7/1/2022,2:00 PM,79,44,21,Fair / Windy
15,7/1/2022,3:00 PM,79,44,22,Fair / Windy
16,7/1/2022,4:00 PM,79,44,22,Fair / Windy
17,7/1/2022,5:00 PM,79,44,21,Fair / Windy
18,7/1/2022,6:00 PM,77,50,22,Fair / Windy
19,7/1/2022,7:00 PM,75,53,23,Fair / Windy
20,7/1/2022,8:00 PM,75,53,23,Fair / Windy
21,7/1/2022,9:00 PM,70,68,21,Fair / Windy
22,7/1/2022,10:00 PM,70,78,17,Partly Cloudy
23,7/1/2022,11:00 PM,68,94,16,Partly Cloudy
24,7/2/2022,12:00 AM,68,100,14,Fair
25,7/2/2022,1:00 AM,66,100,12,Fair
26,7/2/2022,2:00 AM,68,100,13,Fair
27,7/2/2022,3:00 AM,68,100,13,Fair
28,7/2/2022,4:00 AM,68,78,14,Partly Cloudy
29,7/2/2022,5:00 AM,66,100,9,Fair
30,7/2/2022,6:00 AM,66,100,12,Fair
31,7/2/2022,7:00 AM,64,100,6,Fair
32,7/2/2022,8:00 AM,66,100,10,Partly Cloudy
33,7/2/2022,9:00 AM,70,100,15,Fair
34,7/2/2022,10:00 AM,73,65,20,Partly Cloudy
35,7/2/2022,11:00 AM,75,53,20,Fair
36,7/2/2022,12:00 PM,79,51,17,Fair
37,7/2/2022,1:00 PM,81,45,18,Fair
38,7/2/2022,2:00 PM,82,39,18,Fair
39,7/2/2022,3:00 PM,82,42,18,Fair
40,7/2/2022,4:00 PM,82,39,20,Fair
41,7/2/2022,5:00 PM,82,48,23,Fair / Windy
42,7/2/2022,6:00 PM,79,47,21,Fair / Windy
43,7/2/2022,7:00 PM,77,50,21,Fair / Windy
44,7/2/2022,8:00 PM,75,53,22,Fair / Windy
45,7/2/2022,9:00 PM,72,64,22,Fair / Windy
46,7/2/2022,10:00 PM,70,83,21,Fair / Windy
47,7/2/2022,11:00 PM,70,88,20,Mostly Cloudy
48,7/3/2022,12:00 AM,68,100,18,Mostly Cloudy
49,7/3/2022,1:00 AM,68,100,18,Partly Cloudy
50,7/3/2022,2:00 AM,68,100,17,Mostly Cloudy
51,7/3/2022,3:00 AM,66,100,14,Partly Cloudy
52,7/3/2022,4:00 AM,66,100,12,Partly Cloudy
53,7/3/2022,5:00 AM,64,100,12,Partly Cloudy
54,7/3/2022,6:00 AM,64,100,10,Partly Cloudy
