,date,time,temp,hum,wind,condition
0,1/1/2022,12:00 AM,66,21.0,8.0,Fair
1,1/1/2022,1:00 AM,68,17.0,9.0,Fair
2,1/1/2022,2:00 AM,68,16.0,10.0,Fair
3,1/1/2022,3:00 AM,68,15.0,9.0,Fair
4,1/1/2022,4:00 AM,64,18.0,9.0,Fair
5,1/1/2022,5:00 AM,64,18.0,10.0,Fair
6,1/1/2022,6:00 AM,64,18.0,12.0,Fair
7,1/1/2022,7:00 AM,63,19.0,13.0,Fair
8,1/1/2022,8:00 AM,63,20.0,12.0,Fair
9,1/1/2022,9:00 AM,63,20.0,9.0,Fair
10,1/1/2022,10:00 AM,64,19.0,9.0,Fair
11,1/1/2022,11:00 AM,66,19.0,12.0,Fair
12,1/1/2022,12:00 PM,72,17.0,14.0,Fair
13,1/1/2022,1:00 PM,77,16.0,13.0,Fair
14,1/1/2022,2:00 PM,79,15.0,13.0,Fair
15,1/1/2022,3:00 PM,82,12.0,12.0,Fair
16,1/1/2022,4:00 PM,84,12.0,10.0,Fair
17,1/1/2022,5:00 PM,84,11.0,9.0,Fair
18,1/1/2022,6:00 PM,84,11.0,10.0,Fair
19,1/1/2022,7:00 PM,79,20.0,9.0,Fair
20,1/1/2022,8:00 PM,75,19.0,10.0,Fair
21,1/1/2022,9:00 PM,72,25.0,15.0,Fair
22,1/1/2022,10:00 PM,70,25.0,15.0,Fair
23,1/1/2022,11:00 PM,68,21.0,16.0,Fair
24,1/2/2022,12:00 AM,66,26.0,13.0,Fair
25,1/2/2022,1:00 AM,64,24.0,12.0,Fair
26,1/2/2022,2:00 AM,64,19.0,12.0,Fair
27,1/2/2022,3:00 AM,64,19.0,12.0,Fair
28,1/2/2022,4:00 AM,63,20.0,10.0,Fair
29,1/2/2022,5:00 AM,63,22.0,9.0,Fair
30,1/2/2022,6:00 AM,63,24.0,12.0,Fair
31,1/2/2022,7:00 AM,63,26.0,10.0,Fair
32,1/2/2022,8:00 AM,61,27.0,12.0,Fair
33,1/2/2022,9:00 AM,61,27.0,9.0,Fair
34,1/2/2022,10:00 AM,63,27.0,8.0,Fair
35,1/2/2022,11:00 AM,66,28.0,14.0,Fair
36,1/2/2022,12:00 PM,70,28.0,16.0,Fair
37,1/2/2022,1:00 PM,75,25.0,17.0,Fair
38,1/2/2022,2:00 PM,79,23.0,16.0,Fair
39,1/2/2022,3:00 PM,81,20.0,16.0,Fair
40,1/2/2022,4:00 PM,82,17.0,14.0,Fair
41,1/2/2022,5:00 PM,82,15.0,14.0,Fair
42,1/2/2022,6:00 PM,82,16.0,12.0,Fair
43,1/2/2022,7:00 PM,79,17.0,12.0,Fair
44,1/2/2022,8:00 PM,73,33.0,9.0,Fair
45,1/2/2022,9:00 PM,0,0.0,14.0,Fair
46,1/2/2022,10:00 PM,66,40.0,16.0,Fair
47,1/2/2022,11:00 PM,64,45.0,18.0,Fair
48,1/3/2022,12:00 AM,63,52.0,16.0,Fair
49,1/3/2022,1:00 AM,63,52.0,16.0,Fair
50,1/3/2022,2:00 AM,61,45.0,15.0,Fair
51,1/3/2022,3:00 AM,61,42.0,12.0,Fair
52,1/3/2022,5:00 AM,61,39.0,8.0,Fair
53,1/3/2022,6:00 AM,61,39.0,9.0,Fair
54,1/3/2022,7:00 AM,59,42.0,6.0,Fair
55,1/3/2022,8:00 AM,59,39.0,6.0,Fair
56,1/3/2022,9:00 AM,59,39.0,7.0,Fair
57,1/3/2022,10:00 AM,63,34.0,12.0,Fair
58,1/3/2022,11:00 AM,66,30.0,12.0,Fair
59,1/3/2022,12:00 PM,72,23.0,14.0,Fair
60,1/3/2022,1:00 PM,73,20.0,14.0,Fair
61,1/3/2022,2:00 PM,75,19.0,15.0,Fair
62,1/3/2022,3:00 PM,77,17.0,13.0,Fair
63,1/3/2022,4:00 PM,79,15.0,10.0,Fair
64,1/3/2022,5:00 PM,79,14.0,13.0,Fair
65,1/3/2022,6:00 PM,77,14.0,10.0,Fair
